method_or_rung,metric,n_seeds,higher_is_better,final_window_mean_iqm,final_window_mean_ci_lo,final_window_mean_ci_hi,final_window_mean_mean,final_window_mean_std,best_iqm,best_ci_lo,best_ci_hi,best_mean,best_std
ablation_no_ecbf,peak_fatigue,10,False,0.5633716599999999,0.5633716599999998,0.5633716599999999,0.5633716602879998,9.107359712664703e-10,0.537950735,0.5334977366666666,0.5449905033333332,0.539239286,0.007485228208874996
ablation_no_ecbf,per_agent_entropy_mean,10,,0.693119217,0.6930984500000001,0.6932460872,0.6931651997999999,0.00011750583245076508,nan,nan,nan,nan,nan
ablation_no_ecbf,per_agent_entropy_min,10,,0.693070505,0.6930694644000001,0.6930758083333335,0.6930727152000001,5.291745538534801e-06,nan,nan,nan,nan,nan
ablation_no_ecbf,policy_loss,10,False,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
ablation_no_ecbf,safety_autonomy_index,10,,1.0,1.0,1.0,1.0,0.0,nan,nan,nan,nan,nan
ablation_no_ecbf,safety_rate,10,True,0.9631270835000001,0.9555141704000001,0.9733924996000001,0.9574095852,0.026655785756767122,1.0,0.9979165,1.0,0.9989583,0.0017706018468306283
ablation_no_ecbf,tasks_completed,10,True,1457.5805,1456.1013333333333,1457.8486666666668,1457.0918000000001,1.1572351916913104,2695.0,2603.64375,2714.75,2655.8,100.02088670761611
ablation_no_ecbf,value_loss,10,False,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
ablation_no_ecbf,violation_rate,10,False,0.0108008655,0.008378919333333333,0.011519096999999999,0.013069091799999998,0.010050215913539036,0.0,0.0,0.000347,0.0001735,0.0002948932952027827
ablation_no_ecbf,wall_time,10,,5965.356771983001,5962.822117966401,5967.980618544,5965.3573880682,2.6713361699485207,nan,nan,nan,nan,nan
ablation_no_nswf,actor_loss,10,False,-0.0028839829999999997,-0.003653461142857143,-0.002207378,-0.0029098402,0.0008378579409997855,-0.0999845,-0.102779,-0.09698849999999999,-0.10064809999999999,0.005367640852574083
ablation_no_nswf,constraint_recovery_time,10,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
ablation_no_nswf,cost_critic_loss,10,False,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
ablation_no_nswf,cost_ema,10,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ablation_no_nswf,critic_loss,10,False,6.6029311244999995,4.317102793199999,6.9903390845499995,5.8472104607999995,1.8389090935975634,2.996438,1.7023251428571429,3.182409816666666,2.5749428000000005,1.0278693346444383
ablation_no_nswf,cumulative_cost,10,False,22.072499999999998,15.5796,24.45046857142857,20.4574,5.932586173930481,0.0,0.0,0.0,0.0,0.0
ablation_no_nswf,cumulative_reward,10,True,-1393.3344718815,-2226.5169175340006,-1383.1230400616,-1733.1524815770001,738.6210269613744,-1276.67292425,-2123.4085862,-1272.1252453880952,-1616.8301799,733.9362550046076
ablation_no_nswf,ecbf_interventions,10,False,10358.496500000001,10045.757200000002,10359.584399999998,10223.4126,294.85017286607723,6670.0,6305.142857142857,6809.75,6595.5,295.61959414836565
ablation_no_nswf,entropy,10,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
ablation_no_nswf,forced_rest_rate,10,,0.8119363230000001,0.7921765508,0.8120175882857142,0.8032507264,0.019028487699330743,nan,nan,nan,nan,nan
ablation_no_nswf,jain_fairness,10,True,0.9999990455000002,0.99951662,0.9999991297142857,0.999809716,0.00040484455114422164,1.0,0.99999,1.0,0.9999931999999999,1.4950287994264429e-05
ablation_no_nswf,lambda,10,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
ablation_no_nswf,lazy_agent_flag,10,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ablation_no_nswf,peak_fatigue,10,False,0.6948306991850001,0.6947736003034499,0.7180342029659286,0.702891717284,0.017014053023543866,0.65506533,0.6515181040000001,0.6849070657142857,0.6637954770000001,0.02269920814724113
ablation_no_nswf,per_agent_entropy_mean,10,,0.31821602449999997,0.3179019788675,0.35922632839999996,0.3358492136000001,0.03860680407063286,nan,nan,nan,nan,nan
ablation_no_nswf,per_agent_entropy_min,10,,0.315245926,0.3151904071428572,0.3234599992,0.3203867746000001,0.012230331120617997,nan,nan,nan,nan,nan
ablation_no_nswf,policy_loss,10,False,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
ablation_no_nswf,safety_autonomy_index,10,,0.3365825575,0.3365745723333333,0.34232478006999995,0.3389838646,0.005199654496066268,nan,nan,nan,nan,nan
ablation_no_nswf,safety_rate,10,True,0.9655687535,0.9626511851428571,0.9736451326666665,0.9678591658,0.007698928123199072,1.0,1.0,1.0,1.0,0.0
ablation_no_nswf,tasks_completed,10,True,2602.3059999999996,2545.4395999999997,2602.5668571428573,2577.3124,54.784205751495755,2638.5,2570.6236607142855,2648.25,2616.5,56.51204394738445
ablation_no_nswf,value_loss,10,False,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
ablation_no_nswf,violation_rate,10,False,0.007664064,0.005409554400000001,0.008489741507142858,0.007103252,0.0020599404769148064,0.0,0.0,0.0,0.0,0.0
ablation_no_nswf,wall_time,10,,5970.0996893065,5962.9554290999995,5975.662176989039,5970.356689563401,8.653285258298771,nan,nan,nan,nan,nan
ablation_no_divergent,actor_loss,10,False,-0.0022012575,-0.003127054333333334,-0.0013507593333333331,-0.0020463972,0.0014570221573552606,-0.10285625,-0.10579516666666668,-0.10025650000000001,-0.1038038,0.005442321232709441
ablation_no_divergent,constraint_recovery_time,10,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
ablation_no_divergent,cost_critic_loss,10,False,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
ablation_no_divergent,cost_ema,10,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ablation_no_divergent,critic_loss,10,False,8.38588056,7.5925382848,8.833842142099998,8.2799330802,0.7454455228424766,3.3911955000000003,3.081798729285714,3.589158,3.3548112000000003,0.29113921528093734
ablation_no_divergent,cumulative_cost,10,False,25.8615,23.31451785714286,28.694000000000003,25.994999999999997,3.0058413131767288,0.0,0.0,0.0,0.0,0.0
ablation_no_divergent,cumulative_reward,10,True,-1366.1428637259999,-1376.722225735,-1349.4326529011284,-1363.6865568424,14.432657271345082,-1231.3155588333334,-1237.2755455000001,-1226.4831953999999,-1231.9428019000002,6.3766249957123495
ablation_no_divergent,ecbf_interventions,10,False,10360.827,10330.617592857143,10363.033714285715,10350.8758,22.03678239166894,6704.0,6498.0,6810.8,6646.6,242.02672028793293
ablation_no_divergent,entropy,10,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
ablation_no_divergent,forced_rest_rate,10,,0.812069993,0.8119090669999999,0.812230933,0.812039682,0.000283179507676669,nan,nan,nan,nan,nan
ablation_no_divergent,jain_fairness,10,True,0.9999990020000002,0.9999989488000003,0.9999990848571428,0.9999990116000003,7.529379492230075e-08,1.0,1.0,1.0,1.0,0.0
ablation_no_divergent,lambda,10,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
ablation_no_divergent,lazy_agent_flag,10,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ablation_no_divergent,peak_fatigue,10,False,0.69498331726,0.6948385776926429,0.8051889686571428,0.733450404288,0.08115097037707661,0.660230865,0.6557068628571429,0.7264713970357143,0.6812785250000001,0.04951585600095662
ablation_no_divergent,per_agent_entropy_mean,10,,0.319192838,0.3178430746666667,0.319913565,0.31901682560000005,0.0011659555657124183,nan,nan,nan,nan,nan
ablation_no_divergent,per_agent_entropy_min,10,,0.315006176,0.3145203175583334,0.315297794,0.31500704339999996,0.0006152497456740903,nan,nan,nan,nan,nan
ablation_no_divergent,policy_loss,10,False,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
ablation_no_divergent,safety_autonomy_index,10,,0.3364965445,0.3364569011708334,0.33840454295,0.33716522439999996,0.0014324387591466428,nan,nan,nan,nan,nan
ablation_no_divergent,safety_rate,10,True,0.9611666645,0.955215397092857,0.9653923646666667,0.9605850050000001,0.005359398593446881,1.0,1.0,1.0,1.0,0.0
ablation_no_divergent,tasks_completed,10,True,2602.7675,2602.3,2603.227,2602.6780000000003,0.8169063593828312,2645.6,2639.5,2669.1675,2652.4,18.130391918298706
ablation_no_divergent,value_loss,10,False,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
ablation_no_divergent,violation_rate,10,False,0.008979681500000001,0.008095302442857145,0.009963201333333333,0.009026036,0.001043699492673164,0.0,0.0,0.0,0.0,0.0
ablation_no_divergent,wall_time,10,,5969.101702069,5958.123131331,5978.7733160448,5967.8807604247995,13.71980256214666,nan,nan,nan,nan,nan
ablation_no_reperfusion,actor_loss,10,False,-0.010568115999999999,-0.0112559232,-0.008666247428571429,-0.0101560064,0.001623440226226543,-0.09272174999999999,-0.09334819999999999,-0.09224949999999998,-0.09280029999999999,0.0006542137010692056
ablation_no_reperfusion,constraint_recovery_time,10,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
ablation_no_reperfusion,cost_critic_loss,10,False,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
ablation_no_reperfusion,cost_ema,10,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ablation_no_reperfusion,critic_loss,10,False,269.44128185,56.376544689235914,365.59440567866665,226.6703219854,166.16515186238144,18.83500175,3.3912805714285708,27.660229750000003,16.1786103,12.14962945608562
ablation_no_reperfusion,cumulative_cost,10,False,2158.86,2154.5636000000004,2262.450857142857,2193.7898,59.57727024032643,2115.75,2106.4,2124.2012499999996,2115.5,10.25508004194344
