actor_loss,constraint_recovery_time,cost_critic_loss,cost_ema,critic_loss,cumulative_cost,cumulative_reward,ecbf_interventions,entropy,episode,forced_rest_rate,global_step,jain_fairness,lambda,lazy_agent_flag,peak_fatigue,per_agent_entropy_mean,per_agent_entropy_min,policy_loss,safety_autonomy_index,safety_rate,tasks_completed,value_loss,violation_rate,wall_time
-0.099886,,,0.000000,1219.521851,24.000000,-6495.493068,6460,,1,0.717014,480,0.999718,,0,0.6469203,1.787947,1.784582,,0.548567,0.956250,2385.000000,,0.008333,2.223361
-0.101877,,,0.000000,1328.836548,39.000000,-6427.412629,6711,,2,0.726042,960,0.999953,,0,0.6650029,1.786852,1.782841,,0.534927,0.918750,2405.000000,,0.013542,3.990784
-0.094274,,,0.000000,2048.236572,251.000000,-6897.128695,7605,,3,0.759375,1440,0.999742,,0,0.6852313,1.778832,1.770004,,0.491168,0.660417,2491.000000,,0.087153,5.787611
-0.090810,,,0.000000,2976.555908,518.000000,-7865.855300,7862,,4,0.773958,1920,0.999771,,0,0.6824636,1.763799,1.740313,,0.479200,0.506250,2516.000000,,0.179861,7.561091
-0.089182,,,0.000000,13643.329102,1178.000000,-14707.831970,8486,,5,0.803125,2400,0.999643,,0,0.68675387,1.743636,1.725562,,0.452657,0.389583,2584.000000,,0.409028,9.324388
-0.087993,,,0.000000,4520.859375,755.000000,-9147.801665,8285,,6,0.794097,2880,0.999798,,0,0.6805101,1.743199,1.712451,,0.459768,0.537500,2556.000000,,0.262153,11.089944
-0.088610,,,0.000000,6471.708496,822.000000,-10125.911372,8466,,7,0.800000,3360,0.999885,,0,0.68404704,1.729227,1.716168,,0.450331,0.435417,2567.000000,,0.285417,12.836834
-0.087736,,,0.000000,3860.816162,684.000000,-8510.043307,8387,,8,0.797569,3840,0.999827,,0,0.6813214,1.728649,1.720267,,0.452474,0.485417,2553.000000,,0.237500,14.604219
-0.087856,,,0.000000,3553.564209,620.000000,-8235.951985,8284,,9,0.781597,4320,0.999353,,0,0.6886676,1.733869,1.716707,,0.455143,0.460417,2534.000000,,0.215278,16.263230
-0.088703,,,0.000000,4687.065918,674.000000,-8794.899310,8437,,10,0.790625,4800,0.999590,,0,0.67730397,1.714203,1.693553,,0.449210,0.535417,2553.000000,,0.234028,17.916232
