actor_loss,constraint_recovery_time,cost_critic_loss,cost_ema,critic_loss,cumulative_cost,cumulative_reward,ecbf_interventions,entropy,episode,forced_rest_rate,global_step,jain_fairness,lambda,lazy_agent_flag,peak_fatigue,per_agent_entropy_mean,per_agent_entropy_min,policy_loss,safety_autonomy_index,safety_rate,tasks_completed,value_loss,violation_rate,wall_time
-0.092285,,,0.000000,74218.171875,2169.000000,-41762.676513,8442,,1,0.748264,480,0.999785,,0,0.76376724,1.786576,1.783217,,0.417391,0.235417,2415.000000,,0.753125,2.025258
-0.090253,,,0.000000,73119.750000,2163.000000,-41349.205952,8361,,2,0.730556,960,0.999513,,0,0.7567335,1.786601,1.778978,,0.412025,0.245833,2370.000000,,0.751042,3.556480
-0.091505,,,0.000000,70782.437500,2174.000000,-40738.878032,8119,,3,0.712153,1440,0.999899,,0,0.751818,1.783648,1.780768,,0.418493,0.235417,2327.000000,,0.754861,5.078312
-0.090438,,,0.000000,71615.281250,2172.000000,-41020.557980,8157,,4,0.721181,1920,0.999597,,0,0.7470996,1.783526,1.768820,,0.417524,0.225000,2334.000000,,0.754167,6.602776
-0.090034,,,0.000000,73038.726562,2188.000000,-41397.332530,8394,,5,0.739931,2400,0.999659,,0,0.75873923,1.783476,1.766788,,0.422855,0.227083,2424.000000,,0.759722,8.128406
-0.090191,,,0.000000,76507.250000,2175.000000,-42295.018372,8305,,6,0.733333,2880,0.999598,,0,0.7570866,1.784918,1.777216,,0.419150,0.231250,2383.000000,,0.755208,9.663945
-0.091108,,,0.000000,74765.359375,2181.000000,-41768.862773,8467,,7,0.742708,3360,0.999763,,0,0.7624076,1.783426,1.779909,,0.416632,0.225000,2419.000000,,0.757292,11.190827
-0.089844,,,0.000000,73006.906250,2182.000000,-41467.186584,8587,,8,0.757292,3840,0.999795,,0,0.75906503,1.780735,1.773892,,0.421283,0.231250,2473.000000,,0.757639,12.623282
-0.090613,,,0.000000,73705.867188,2176.000000,-41518.039937,8640,,9,0.766319,4320,0.999624,,0,0.77128893,1.778645,1.766250,,0.420756,0.231250,2486.000000,,0.755556,13.994802
-0.090321,,,0.000000,81501.281250,2181.000000,-43749.508222,8829,,10,0.771528,4800,0.999769,,0,0.76619685,1.776142,1.765674,,0.416303,0.231250,2521.000000,,0.757292,15.268490
-0.091095,,,0.000000,81920.007812,2191.000000,-43995.297910,8988,,11,0.787153,5280,0.999212,,0,0.76982135,1.769930,1.756267,,0.410004,0.225000,2539.000000,,0.760764,16.542053
-0.090449,,,0.000000,83300.367188,2177.000000,-44464.460834,8901,,12,0.794444,5760,0.999797,,0,0.76876694,1.765601,1.757146,,0.419374,0.229167,2555.000000,,0.755903,17.828892
-0.088418,,,0.000000,83616.859375,2170.000000,-44489.409563,9049,,13,0.804514,6240,0.999910,,0,0.76754993,1.750483,1.743624,,0.414986,0.231250,2578.000000,,0.753472,18.997715
-0.090460,,,0.000000,76992.750000,2175.000000,-42624.200108,8898,,14,0.784028,6720,0.999858,,0,0.7713478,1.764252,1.741660,,0.410103,0.227083,2514.000000,,0.755208,20.072631
-0.089543,,,0.000000,83670.328125,2178.000000,-44518.808173,8923,,15,0.787500,7200,0.999710,,0,0.7636813,1.770077,1.762112,,0.407975,0.227083,2512.000000,,0.756250,21.108067
-0.089130,,,0.000000,74946.367188,2183.000000,-42016.756498,8835,,16,0.767361,7680,0.999587,,0,0.7720546,1.767590,1.762255,,0.400692,0.227083,2457.000000,,0.757986,22.079240
-0.090838,,,0.000000,75405.945312,2189.000000,-42157.088834,9015,,17,0.785764,8160,0.999849,,0,0.7644794,1.773570,1.770056,,0.403059,0.229167,2517.000000,,0.760069,23.051865
-0.089576,,,0.000000,75241.554688,2194.000000,-42227.864937,8681,,18,0.756250,8640,0.999736,,0,0.76531166,1.779651,1.768631,,0.410898,0.227083,2456.000000,,0.761806,24.006093
-0.089505,,,0.000000,80144.726562,2177.000000,-43710.245805,8776,,19,0.771181,9120,0.999788,,0,0.77142525,1.780644,1.777420,,0.403723,0.229167,2453.000000,,0.755903,25.055899
-0.089144,,,0.000000,81430.054688,2181.000000,-44103.478136,8657,,20,0.757639,9600,0.999532,,0,0.7654769,1.780029,1.768828,,0.411569,0.229167,2452.000000,,0.757292,25.971402
-0.091497,,,0.000000,79802.359375,2184.000000,-43535.108436,8792,,21,0.769792,10080,0.999636,,0,0.7660831,1.775421,1.769813,,0.410329,0.222917,2485.000000,,0.758333,26.942667
-0.089909,,,0.000000,73585.375000,2168.000000,-41700.401594,8833,,22,0.776736,10560,0.999678,,0,0.768317,1.779147,1.772718,,0.410190,0.231250,2496.000000,,0.752778,27.911786
-0.089899,,,0.000000,78381.914062,2206.000000,-43255.342783,9099,,23,0.789583,11040,0.999948,,0,0.7685866,1.769702,1.762944,,0.403892,0.227083,2544.000000,,0.765972,28.864999
-0.090603,,,0.000000,80917.593750,2182.000000,-43717.660466,9008,,24,0.797222,11520,0.999762,,0,0.7690671,1.773611,1.767466,,0.413999,0.227083,2562.000000,,0.757639,29.945752
-0.092139,,,0.000000,79080.710938,2211.000000,-43535.607232,8891,,25,0.778472,12000,0.999716,,0,0.7659008,1.777692,1.765502,,0.413368,0.216667,2526.000000,,0.767708,31.002353
