actor_loss,constraint_recovery_time,cost_critic_loss,cost_ema,critic_loss,cumulative_cost,cumulative_reward,ecbf_interventions,entropy,episode,forced_rest_rate,global_step,jain_fairness,lambda,lazy_agent_flag,peak_fatigue,per_agent_entropy_mean,per_agent_entropy_min,policy_loss,safety_autonomy_index,safety_rate,tasks_completed,value_loss,violation_rate,wall_time
-0.096461,,,0.000000,2215.644043,176.000000,-8520.205290,6751,,1,0.719097,480,0.999778,,0,0.6702107,1.789035,1.788009,,0.530985,0.766667,2399.000000,,0.061111,2.030103
-0.095984,,,0.000000,2302.270508,242.000000,-8370.763943,7091,,2,0.736111,960,0.999818,,0,0.67287326,1.786700,1.781642,,0.515841,0.677083,2441.000000,,0.084028,3.560201
-0.100836,,,0.000000,1829.710083,160.000000,-7431.491274,7178,,3,0.738889,1440,0.999704,,0,0.6662335,1.779116,1.764168,,0.511302,0.789583,2448.000000,,0.055556,5.091390
-0.089308,,,0.000000,6430.537598,800.000000,-11026.359647,8192,,4,0.790625,1920,0.999760,,0,0.69121474,1.756441,1.730731,,0.463945,0.497917,2547.000000,,0.277778,6.608105
-0.089029,,,0.000000,10599.214844,925.000000,-13225.811990,8284,,5,0.797222,2400,0.999447,,0,0.6855776,1.743462,1.730963,,0.464443,0.506250,2578.000000,,0.321181,8.131009
-0.087193,,,0.000000,7221.757324,899.000000,-11285.857894,8471,,6,0.804861,2880,0.999681,,0,0.68472207,1.733865,1.700431,,0.452990,0.460417,2581.000000,,0.312153,9.649392
-0.088819,,,0.000000,6704.996094,940.000000,-11263.906544,8431,,7,0.801042,3360,0.999773,,0,0.6805443,1.738835,1.716640,,0.454516,0.466667,2576.000000,,0.326389,11.181259
-0.088914,,,0.000000,4174.290039,479.000000,-8737.690581,8062,,8,0.788542,3840,0.999740,,0,0.67859876,1.737482,1.722224,,0.464888,0.541667,2511.000000,,0.166319,12.709063
-0.092270,,,0.000000,2306.695801,450.000000,-7320.789686,8212,,9,0.779167,4320,0.999593,,0,0.6793943,1.734320,1.725028,,0.453408,0.662500,2504.000000,,0.156250,14.239828
-0.089707,,,0.000000,2805.299072,587.000000,-7876.351361,8510,,10,0.788889,4800,0.999769,,0,0.6827478,1.715461,1.684178,,0.440058,0.375000,2533.000000,,0.203819,15.760011
-0.086637,,,0.000000,6393.923828,1201.000000,-11514.728163,8944,,11,0.809722,5280,0.999810,,0,0.6915538,1.685806,1.653625,,0.423117,0.385417,2584.000000,,0.417014,17.305099
-0.085418,,,0.000000,6070.722168,1066.000000,-10720.664145,8891,,12,0.803819,5760,0.999912,,0,0.6923477,1.674341,1.654206,,0.426091,0.283333,2582.000000,,0.370139,18.837921
-0.084565,,,0.000000,5932.502441,1148.000000,-10918.668370,8861,,13,0.794792,6240,0.999705,,0,0.6819882,1.651480,1.637843,,0.424237,0.395833,2565.000000,,0.398611,20.349373
-0.085192,,,0.000000,2627.875488,599.000000,-7561.105028,8616,,14,0.792708,6720,0.999795,,0,0.68091273,1.680109,1.664728,,0.433531,0.647917,2535.000000,,0.207986,21.877455
-0.085941,,,0.000000,5716.328125,950.000000,-10411.039529,8566,,15,0.791319,7200,0.999756,,0,0.6945995,1.682212,1.670712,,0.436818,0.385417,2535.000000,,0.329861,23.396392
-0.085328,,,0.000000,1705.792603,348.000000,-6446.416513,8375,,16,0.772569,7680,0.999860,,0,0.6781419,1.691410,1.671539,,0.437618,0.516667,2482.000000,,0.120833,24.920537
-0.084585,,,0.000000,3599.579590,814.000000,-8827.620268,8456,,17,0.786806,8160,0.999812,,0,0.68289864,1.679789,1.657599,,0.438960,0.452083,2512.000000,,0.282639,26.443054
-0.083305,,,0.000000,2198.267822,584.000000,-7231.668910,8648,,18,0.784028,8640,0.999742,,0,0.6736736,1.656223,1.634744,,0.423467,0.627083,2500.000000,,0.202778,27.959053
-0.083904,,,0.000000,2385.872314,628.000000,-7330.013740,8684,,19,0.785417,9120,0.999534,,0,0.678498,1.649728,1.641796,,0.423603,0.572917,2511.000000,,0.218056,29.482148
-0.083142,,,0.000000,4483.205078,946.000000,-9410.464070,9002,,20,0.800694,9600,0.999572,,0,0.6764238,1.638320,1.613585,,0.412555,0.418750,2554.000000,,0.328472,31.012602
-0.083205,,,0.000000,6486.411133,1108.000000,-10989.718781,8990,,21,0.803125,10080,0.999829,,0,0.70339197,1.636578,1.617864,,0.415399,0.447917,2563.000000,,0.384722,32.538010
-0.085959,,,0.000000,3786.347900,892.000000,-9007.378431,8873,,22,0.798958,10560,0.999921,,0,0.68352795,1.641119,1.610709,,0.417094,0.429167,2537.000000,,0.309722,34.059757
-0.083010,,,0.000000,1770.188965,510.000000,-6988.463240,8330,,23,0.769792,11040,0.999933,,0,0.67937255,1.656799,1.613384,,0.434718,0.566667,2456.000000,,0.177083,35.592827
-0.088808,,,0.000000,998.170532,216.000000,-5585.184989,8091,,24,0.757639,11520,0.999910,,0,0.664762,1.643973,1.623354,,0.442308,0.756250,2418.000000,,0.075000,37.119027
-0.087565,,,0.000000,1962.481934,559.000000,-6712.609504,8795,,25,0.790278,12000,0.999750,,0,0.6778661,1.622091,1.603436,,0.418089,0.664583,2519.000000,,0.194097,38.644797
-0.079533,,,0.000000,5807.752930,1318.000000,-11084.696906,9261,,26,0.813889,12480,0.999890,,0,0.68796176,1.601813,1.551670,,0.404973,0.352083,2594.000000,,0.457639,40.174686
-0.082687,,,0.000000,13743.176758,1580.000000,-15947.587768,9513,,27,0.832292,12960,0.999858,,0,0.72440267,1.588998,1.540341,,0.398292,0.237500,2635.000000,,0.548611,41.710886
-0.083815,,,0.000000,9075.482422,1235.000000,-12579.444955,9133,,28,0.810069,13440,0.999679,,0,0.6941629,1.611010,1.575447,,0.410470,0.287500,2582.000000,,0.428819,43.247897
-0.080355,,,0.000000,2356.749268,742.000000,-7591.581441,8886,,29,0.798611,13920,0.999911,,0,0.6875006,1.621028,1.588496,,0.414161,0.502083,2528.000000,,0.257639,44.773746
-0.083520,,,0.000000,1865.130981,580.000000,-6650.334646,8893,,30,0.798958,14400,0.999879,,0,0.68637073,1.606114,1.566513,,0.414395,0.589583,2531.000000,,0.201389,46.291318
-0.085096,,,0.000000,4218.093750,937.000000,-9159.350227,9041,,31,0.802431,14880,0.999979,,0,0.6866951,1.580541,1.548479,,0.407458,0.495833,2543.000000,,0.325347,47.816438
-0.080377,,,0.000000,7129.168945,1406.000000,-12170.058489,9303,,32,0.825000,15360,0.999839,,0,0.69713753,1.559868,1.541330,,0.403654,0.266667,2600.000000,,0.488194,49.338988
-0.082417,,,0.000000,8550.245117,1216.000000,-12383.156178,9049,,33,0.826389,15840,0.999852,,0,0.6822335,1.577608,1.541678,,0.417471,0.429167,2589.000000,,0.422222,50.863705
-0.080497,,,0.000000,3717.177246,637.000000,-8213.120833,8680,,34,0.790625,16320,0.999759,,0,0.6889739,1.606070,1.554241,,0.424556,0.572917,2514.000000,,0.221181,52.450684
-0.081496,,,0.000000,1230.981567,361.000000,-6033.986845,8426,,35,0.794792,16800,0.999864,,0,0.6895141,1.594687,1.573187,,0.439835,0.741667,2507.000000,,0.125347,53.977906
-0.082273,,,0.000000,2848.771484,667.000000,-7825.476322,8641,,36,0.794097,17280,0.999892,,0,0.6844868,1.582163,1.552625,,0.424854,0.456250,2504.000000,,0.231597,55.504595
-0.081026,,,0.000000,2917.530029,714.000000,-7955.863405,8729,,37,0.786458,17760,0.999731,,0,0.67492193,1.565545,1.534751,,0.421077,0.491667,2513.000000,,0.247917,57.031866
-0.080515,,,0.000000,896.284302,270.000000,-5491.417407,8322,,38,0.763542,18240,0.999889,,0,0.66459924,1.569055,1.537366,,0.433646,0.708333,2449.000000,,0.093750,58.548595
-0.082654,,,0.000000,1622.490967,572.000000,-6745.758178,8656,,39,0.779861,18720,0.999893,,0,0.68400145,1.588007,1.557459,,0.420848,0.539583,2491.000000,,0.198611,60.069077
-0.079792,,,0.000000,2854.406250,800.000000,-8079.966412,8819,,40,0.793403,19200,0.999450,,0,0.6759906,1.608550,1.585742,,0.420184,0.520833,2535.000000,,0.277778,61.598456
