actor_loss,constraint_recovery_time,cost_critic_loss,cost_ema,critic_loss,cumulative_cost,cumulative_reward,ecbf_interventions,entropy,episode,forced_rest_rate,global_step,jain_fairness,lambda,lazy_agent_flag,peak_fatigue,per_agent_entropy_mean,per_agent_entropy_min,policy_loss,safety_autonomy_index,safety_rate,tasks_completed,value_loss,violation_rate,wall_time
-0.095268,,,0.000000,1667.313232,115.000000,-7067.320474,6788,,1,0.733681,480,0.999914,,0,0.66286254,1.787597,1.783899,,0.530177,0.852083,2408.000000,,0.039931,2.038587
-0.097198,,,0.000000,1971.490112,204.000000,-7111.460376,6979,,2,0.737500,960,0.999337,,0,0.6646342,1.783169,1.778640,,0.522901,0.752083,2438.000000,,0.070833,3.563862
-0.088892,,,0.000000,5759.603027,585.000000,-9616.756946,7530,,3,0.763194,1440,0.999907,,0,0.6873401,1.776628,1.764594,,0.495173,0.487500,2486.000000,,0.203125,5.077979
-0.089882,,,0.000000,4444.488770,644.000000,-9219.182928,7732,,4,0.767014,1920,0.999806,,0,0.67425597,1.773858,1.763248,,0.485151,0.481250,2503.000000,,0.223611,6.593155
-0.090507,,,0.000000,2561.985107,422.000000,-7561.279093,7731,,5,0.763889,2400,0.999796,,0,0.6690348,1.769828,1.742286,,0.482945,0.527083,2492.000000,,0.146528,8.107216
-0.094159,,,0.000000,1487.476562,190.000000,-6112.809039,7489,,6,0.746181,2880,0.999916,,0,0.6623224,1.766537,1.750284,,0.486562,0.833333,2431.000000,,0.065972,9.639830
-0.093038,,,0.000000,1786.353149,305.000000,-6460.082477,7927,,7,0.758333,3360,0.999820,,0,0.66781145,1.753762,1.736356,,0.466842,0.725000,2478.000000,,0.105903,11.152279
-0.086952,,,0.000000,5352.824219,669.000000,-9035.888854,8458,,8,0.786111,3840,0.999494,,0,0.69501877,1.725903,1.707692,,0.446756,0.402083,2548.000000,,0.232292,12.664825
-0.087439,,,0.000000,9054.700195,1270.000000,-12748.898972,8953,,9,0.800000,4320,0.999844,,0,0.6850067,1.683602,1.667220,,0.422313,0.360417,2583.000000,,0.440972,14.189293
-0.084375,,,0.000000,3677.123779,759.000000,-8314.646026,8635,,10,0.781250,4800,0.999820,,0,0.66953236,1.682492,1.663864,,0.430033,0.541667,2525.000000,,0.263542,15.703298
-0.089468,,,0.000000,5230.959473,774.000000,-9097.809828,8620,,11,0.783681,5280,0.999458,,0,0.6963189,1.680115,1.627682,,0.430798,0.389583,2524.000000,,0.268750,17.215909
-0.087135,,,0.000000,1866.780273,359.000000,-6391.982635,7770,,12,0.748958,5760,0.999414,,0,0.6745723,1.709944,1.684350,,0.469914,0.647917,2443.000000,,0.124653,18.723114
-0.092728,,,0.000000,1004.280823,142.000000,-5273.575939,8000,,13,0.748611,6240,0.999912,,0,0.6816911,1.682386,1.654896,,0.451529,0.718750,2431.000000,,0.049306,20.236777
-0.084456,,,0.000000,1992.440674,384.000000,-6107.726282,8555,,14,0.768403,6720,0.999923,,0,0.6840745,1.639903,1.612018,,0.428295,0.635417,2494.000000,,0.133333,21.749506
-0.081427,,,0.000000,7324.408691,1167.000000,-11228.149921,9339,,15,0.794444,7200,0.999910,,0,0.68559045,1.561123,1.527116,,0.393650,0.441667,2567.000000,,0.405208,23.261356
-0.080925,,,0.000000,3845.895264,895.000000,-8428.994755,9111,,16,0.781250,7680,0.999954,,0,0.68268985,1.545506,1.486047,,0.400513,0.485417,2533.000000,,0.310764,24.713333
-0.078718,,,0.000000,7300.826660,959.000000,-10190.757073,9206,,17,0.787153,8160,0.999685,,0,0.70791423,1.492648,1.446163,,0.392824,0.406250,2527.000000,,0.332986,26.035809
-0.076479,,,0.000000,1214.259399,353.000000,-5390.797845,8631,,18,0.762500,8640,0.999748,,0,0.6728608,1.527206,1.464595,,0.409240,0.731250,2435.000000,,0.122569,27.304547
-0.080269,,,0.000000,1538.602417,310.000000,-5578.295001,8274,,19,0.746181,9120,0.999629,,0,0.6710684,1.558216,1.535384,,0.424457,0.620833,2396.000000,,0.107639,28.626677
-0.077167,,,0.000000,3323.514648,816.000000,-8086.195077,8984,,20,0.778819,9600,0.999680,,0,0.6844002,1.518953,1.485557,,0.396966,0.412500,2483.000000,,0.283333,30.024930
-0.077083,,,0.000000,2025.932495,384.000000,-5704.268561,8800,,21,0.771528,10080,0.999688,,0,0.6845458,1.501381,1.455890,,0.405727,0.508333,2468.000000,,0.133333,31.522780
